layer,neuron,change_score
31,2241,2.6207025051116943
30,9329,2.616795063018799
31,11024,2.605379819869995
31,8060,2.6011290550231934
31,7873,2.593292713165283
31,2100,2.5765607357025146
30,10023,2.5641043186187744
31,3409,2.5454888343811035
28,12702,2.5225565433502197
31,5253,2.519587278366089
31,5311,2.5154178142547607
31,1793,2.5005829334259033
31,12913,2.4975507259368896
31,12616,2.4941697120666504
31,7938,2.489691972732544
30,2458,2.4837896823883057
31,6725,2.4822990894317627
31,11808,2.4811272621154785
30,7813,2.4734761714935303
31,5082,2.472121238708496
31,9175,2.4570748805999756
31,7906,2.4463765621185303
31,3493,2.4273898601531982
31,5626,2.413651704788208
31,2003,2.4008617401123047
31,1668,2.4006595611572266
30,11084,2.399416208267212
31,13544,2.389957904815674
31,273,2.38993763923645
30,3271,2.3898563385009766
31,9639,2.3811018466949463
31,10620,2.3735849857330322
31,11108,2.3587164878845215
31,13622,2.3360767364501953
31,12923,2.335270643234253
31,11598,2.326104164123535
31,9658,2.319551706314087
31,11486,2.3137104511260986
30,10767,2.3118906021118164
31,13648,2.310596227645874
31,5021,2.303279399871826
31,10897,2.3002614974975586
31,1050,2.289628267288208
31,2847,2.278083086013794
31,6432,2.2777767181396484
31,14107,2.272388219833374
31,486,2.272033929824829
31,5,2.265427589416504
31,6657,2.258108615875244
31,3175,2.2561893463134766
31,11483,2.2557945251464844
31,2756,2.2498438358306885
30,12811,2.2422821521759033
31,5553,2.235569715499878
31,3865,2.2333486080169678
31,12861,2.2231791019439697
30,1033,2.2179272174835205
31,10759,2.2139766216278076
31,9171,2.213299512863159
31,1946,2.2086715698242188
31,13414,2.2054502964019775
31,6069,2.2046756744384766
31,7122,2.2031681537628174
31,218,2.1990325450897217
31,674,2.1967175006866455
31,12591,2.195812225341797
30,139,2.1952712535858154
31,1239,2.188934564590454
31,11489,2.180523633956909
31,2800,2.178300380706787
31,1625,2.1737091541290283
31,1813,2.168701648712158
31,12950,2.1647861003875732
31,5509,2.1645090579986572
31,9664,2.162348508834839
31,13102,2.159116744995117
31,9254,2.158618211746216
31,1894,2.152062177658081
30,3813,2.1317121982574463
30,12814,2.131371021270752
30,10840,2.1294939517974854
31,420,2.1280033588409424
31,900,2.122116804122925
31,8884,2.1212265491485596
31,8622,2.1203160285949707
31,118,2.117541790008545
31,2657,2.11179518699646
31,7281,2.1117639541625977
31,11079,2.1076340675354004
31,3166,2.103566884994507
31,6038,2.1030616760253906
30,3775,2.1014513969421387
31,2945,2.098130702972412
30,8716,2.09658145904541
30,9957,2.0942423343658447
31,1928,2.090283155441284
31,1324,2.090193271636963
31,7416,2.088253974914551
31,515,2.0829808712005615
31,5720,2.0790622234344482
31,6691,2.076434373855591
31,4622,2.075927972793579
30,7016,2.075822114944458
31,12252,2.070661783218384
31,3654,2.0657806396484375
31,3487,2.063499927520752
31,10492,2.061051607131958
31,5772,2.0605850219726562
31,11999,2.058058500289917
31,14073,2.057680130004883
31,12841,2.05629563331604
31,13605,2.0550520420074463
30,13459,2.0407214164733887
30,12991,2.037998676300049
30,12185,2.0349912643432617
31,714,2.0281295776367188
31,6467,2.025818347930908
30,699,2.0232763290405273
30,3382,2.0203821659088135
30,10563,2.0196034908294678
31,1572,2.006129741668701
30,4968,2.0000739097595215
31,2754,1.986169695854187
30,999,1.985275387763977
31,10973,1.983096718788147
31,2268,1.981840968132019
31,11769,1.9814355373382568
31,2572,1.9810678958892822
30,3364,1.9752479791641235
31,5933,1.974100947380066
31,11456,1.9729559421539307
31,9692,1.9714208841323853
30,5951,1.9674509763717651
29,12988,1.9659496545791626
31,11059,1.9658459424972534
31,4810,1.963450312614441
31,12222,1.9629132747650146
31,3084,1.95967698097229
31,10233,1.9564052820205688
31,9587,1.9499815702438354
31,3630,1.9485605955123901
31,11013,1.9446971416473389
31,11504,1.9407910108566284
30,10687,1.937832236289978
30,9355,1.930922508239746
31,4128,1.9227849245071411
31,12423,1.921793818473816
30,8295,1.9198671579360962
31,11752,1.9184129238128662
27,3110,1.9147629737854004
31,953,1.9147306680679321
31,9114,1.913917064666748
30,3574,1.9134173393249512
31,2188,1.9120686054229736
31,3751,1.9031206369400024
31,8053,1.8981308937072754
30,7398,1.8960323333740234
31,14321,1.895665168762207
31,2036,1.892102599143982
31,6614,1.8908963203430176
31,1090,1.8868662118911743
31,13933,1.8852407932281494
31,13293,1.8847178220748901
31,794,1.8806962966918945
31,10439,1.879122018814087
31,4160,1.8785592317581177
31,1977,1.8773123025894165
30,14211,1.8756972551345825
30,6893,1.8741445541381836
31,1712,1.872923493385315
31,5335,1.8728325366973877
31,2305,1.8715471029281616
30,5542,1.8664219379425049
31,2344,1.864729404449463
31,4098,1.861318588256836
31,8201,1.8599674701690674
31,11350,1.858192801475525
30,1950,1.8571637868881226
31,5850,1.8568460941314697
31,6266,1.8559616804122925
31,2313,1.8559576272964478
31,4261,1.8556687831878662
30,13182,1.854501724243164
31,2215,1.8544481992721558
31,3428,1.8509118556976318
31,13115,1.8473320007324219
29,7375,1.843526840209961
29,3976,1.840812087059021
31,4358,1.8407586812973022
27,13857,1.8368703126907349
31,5099,1.8357571363449097
30,8983,1.8353677988052368
30,10739,1.8340954780578613
30,4280,1.8326987028121948
30,1562,1.8322229385375977
31,747,1.8295589685440063
31,4786,1.8247382640838623
31,338,1.8221293687820435
31,10014,1.81721031665802
31,1058,1.8151359558105469
31,8345,1.8133087158203125
31,566,1.805890440940857
30,6939,1.804319977760315
30,10498,1.800051212310791
31,10459,1.7981501817703247
30,9094,1.7971270084381104
31,5144,1.7955727577209473
29,7428,1.7949868440628052
31,2889,1.79356050491333
31,6424,1.7931996583938599
31,7115,1.7918885946273804
30,3583,1.7906361818313599
30,4084,1.7886728048324585
31,13833,1.7858989238739014
31,7851,1.7818834781646729
31,2187,1.780429720878601
31,6734,1.7799394130706787
31,3616,1.778507113456726
31,11342,1.778164029121399
31,13030,1.777713656425476
31,1681,1.773919939994812
30,3296,1.7734785079956055
31,6099,1.7704848051071167
31,287,1.7691338062286377
30,7867,1.768121600151062
29,12010,1.7681149244308472
31,12730,1.7675551176071167
31,4373,1.7672371864318848
31,855,1.766861915588379
31,13076,1.7668596506118774
31,10956,1.7666312456130981
